Keyword token, string: int , line number: 3, token id: 100
Identifier token, string: fact , line number: 3, token id: 101
Delimiter token, string: ( , line number: 3, token id: 102
Keyword token, string: int , line number: 3, token id: 100
Identifier token, string: n , line number: 3, token id: 103
Delimiter token, string: ) , line number: 3, token id: 104
Delimiter token, string: { , line number: 3, token id: 105
Keyword token, string: if , line number: 4, token id: 106
Delimiter token, string: ( , line number: 4, token id: 102
Identifier token, string: n , line number: 4, token id: 103
Operator token, string: <= , line number: 4, token id: 107
Integer literal token, string: 1 , line number: 4, token id: 108
Delimiter token, string: ) , line number: 4, token id: 104
Keyword token, string: return , line number: 5, token id: 109
Integer literal token, string: 1 , line number: 5, token id: 108
Delimiter token, string: ; , line number: 5, token id: 110
Keyword token, string: else , line number: 6, token id: 111
Keyword token, string: return , line number: 7, token id: 109
Identifier token, string: n , line number: 7, token id: 103
Operator token, string: * , line number: 7, token id: 112
Identifier token, string: fact , line number: 7, token id: 101
Delimiter token, string: ( , line number: 7, token id: 102
Identifier token, string: n , line number: 7, token id: 103
Operator token, string: - , line number: 7, token id: 113
Integer literal token, string: 1 , line number: 7, token id: 108
Delimiter token, string: ) , line number: 7, token id: 104
Delimiter token, string: ; , line number: 7, token id: 110
Delimiter token, string: } , line number: 8, token id: 114
Keyword token, string: void , line number: 9, token id: 115
Keyword token, string: main , line number: 9, token id: 116
Delimiter token, string: ( , line number: 9, token id: 102
Keyword token, string: void , line number: 9, token id: 115
Delimiter token, string: ) , line number: 9, token id: 104
Delimiter token, string: { , line number: 9, token id: 105
Keyword token, string: int , line number: 10, token id: 100
Identifier token, string: x , line number: 10, token id: 117
Delimiter token, string: ; , line number: 10, token id: 110
Identifier token, string: x , line number: 11, token id: 117
Operator token, string: = , line number: 11, token id: 118
Integer literal token, string: 1 , line number: 11, token id: 108
Delimiter token, string: ; , line number: 11, token id: 110
Keyword token, string: while , line number: 12, token id: 119
Delimiter token, string: ( , line number: 12, token id: 102
Identifier token, string: x , line number: 12, token id: 117
Operator token, string: <= , line number: 12, token id: 107
Integer literal token, string: 10 , line number: 12, token id: 120
Delimiter token, string: ) , line number: 12, token id: 104
Delimiter token, string: { , line number: 12, token id: 105
Identifier token, string: write , line number: 13, token id: 121
Delimiter token, string: ( , line number: 13, token id: 102
Identifier token, string: x , line number: 13, token id: 117
Delimiter token, string: ) , line number: 13, token id: 104
Delimiter token, string: ; , line number: 13, token id: 110
Identifier token, string: write , line number: 14, token id: 121
Delimiter token, string: ( , line number: 14, token id: 102
Identifier token, string: fact , line number: 14, token id: 101
Delimiter token, string: ( , line number: 14, token id: 102
Identifier token, string: x , line number: 14, token id: 117
Delimiter token, string: ) , line number: 14, token id: 104
Delimiter token, string: ) , line number: 14, token id: 104
Delimiter token, string: ; , line number: 14, token id: 110
Identifier token, string: writeln , line number: 15, token id: 122
Delimiter token, string: ( , line number: 15, token id: 102
Delimiter token, string: ) , line number: 15, token id: 104
Delimiter token, string: ; , line number: 15, token id: 110
Identifier token, string: x , line number: 16, token id: 117
Operator token, string: = , line number: 16, token id: 118
Identifier token, string: x , line number: 16, token id: 117
Operator token, string: + , line number: 16, token id: 123
Integer literal token, string: 1 , line number: 16, token id: 108
Delimiter token, string: ; , line number: 16, token id: 110
Delimiter token, string: } , line number: 17, token id: 114
Delimiter token, string: } , line number: 18, token id: 114
