Token is a Keyword, string: int , line number: 1, token id: 100
Token is an Identifier, string: fact , line number: 1, token id: 101
Token is a Delimiter, string: ( , line number: 1, token id: 102
Token is a Keyword, string: int , line number: 1, token id: 100
Token is an Identifier, string: n , line number: 1, token id: 103
Token is a Delimiter, string: ) , line number: 1, token id: 104
Token is a Delimiter, string: { , line number: 1, token id: 105
Token is a Keyword, string: if , line number: 2, token id: 106
Token is a Delimiter, string: ( , line number: 2, token id: 102
Token is an Identifier, string: n , line number: 2, token id: 103
Token is an Operator, string: <= , line number: 2, token id: 107
Token is an Integer literal, string: 1 , line number: 2, token id: 108
Token is a Delimiter, string: ) , line number: 2, token id: 104
Token is a Keyword, string: return , line number: 3, token id: 109
Token is an Integer literal, string: 1 , line number: 3, token id: 108
Token is a Delimiter, string: ; , line number: 3, token id: 110
Token is a Keyword, string: else , line number: 4, token id: 111
Token is a Keyword, string: return , line number: 5, token id: 109
Token is an Identifier, string: n , line number: 5, token id: 103
Token is an Operator, string: * , line number: 5, token id: 112
Token is an Identifier, string: fact , line number: 5, token id: 101
Token is a Delimiter, string: ( , line number: 5, token id: 102
Token is an Identifier, string: n , line number: 5, token id: 103
Token is an Operator, string: - , line number: 5, token id: 113
Token is an Integer literal, string: 1 , line number: 5, token id: 108
Token is a Delimiter, string: ) , line number: 5, token id: 104
Token is a Delimiter, string: ; , line number: 5, token id: 110
Token is a Delimiter, string: } , line number: 6, token id: 114
Token is a Keyword, string: void , line number: 7, token id: 115
Token is a Keyword, string: main , line number: 7, token id: 116
Token is a Delimiter, string: ( , line number: 7, token id: 102
Token is a Keyword, string: void , line number: 7, token id: 115
Token is a Delimiter, string: ) , line number: 7, token id: 104
Token is a Delimiter, string: { , line number: 7, token id: 105
Token is a Keyword, string: int , line number: 8, token id: 100
Token is an Identifier, string: x , line number: 8, token id: 117
Token is a Delimiter, string: ; , line number: 8, token id: 110
Token is an Identifier, string: x , line number: 9, token id: 117
Token is an Operator, string: = , line number: 9, token id: 118
Token is an Integer literal, string: 1 , line number: 9, token id: 108
Token is a Delimiter, string: ; , line number: 9, token id: 110
Token is a Keyword, string: while , line number: 10, token id: 119
Token is a Delimiter, string: ( , line number: 10, token id: 102
Token is an Identifier, string: x , line number: 10, token id: 117
Token is an Operator, string: <= , line number: 10, token id: 107
Token is an Integer literal, string: 10 , line number: 10, token id: 120
Token is a Delimiter, string: ) , line number: 10, token id: 104
Token is a Delimiter, string: { , line number: 10, token id: 105
Token is an Identifier, string: write , line number: 11, token id: 121
Token is a Delimiter, string: ( , line number: 11, token id: 102
Token is an Identifier, string: x , line number: 11, token id: 117
Token is a Delimiter, string: ) , line number: 11, token id: 104
Token is a Delimiter, string: ; , line number: 11, token id: 110
Token is an Identifier, string: write , line number: 12, token id: 121
Token is a Delimiter, string: ( , line number: 12, token id: 102
Token is an Identifier, string: fact , line number: 12, token id: 101
Token is a Delimiter, string: ( , line number: 12, token id: 102
Token is an Identifier, string: x , line number: 12, token id: 117
Token is a Delimiter, string: ) , line number: 12, token id: 104
Token is a Delimiter, string: ) , line number: 12, token id: 104
Token is a Delimiter, string: ; , line number: 12, token id: 110
Token is an Identifier, string: writeln , line number: 13, token id: 122
Token is a Delimiter, string: ( , line number: 13, token id: 102
Token is a Delimiter, string: ) , line number: 13, token id: 104
Token is a Delimiter, string: ; , line number: 13, token id: 110
Token is an Identifier, string: x , line number: 14, token id: 117
Token is an Operator, string: = , line number: 14, token id: 118
Token is an Identifier, string: x , line number: 14, token id: 117
Token is an Operator, string: + , line number: 14, token id: 123
Token is an Integer literal, string: 1 , line number: 14, token id: 108
Token is a Delimiter, string: ; , line number: 14, token id: 110
Token is a Delimiter, string: } , line number: 15, token id: 114
Token is a Delimiter, string: } , line number: 16, token id: 114
